;ID;Year;Value
1;62;2005;7,3
2;62;2006;7,2
3;62;2007;7,2
4;62;2008;7,3
5;62;2009;7,1
6;62;2010;7,2
7;62;2011;7,2
8;62;2012;7,2
9;62;2013;7,4
10;62;2014;7,2
11;62;2015;7,2
12;62;2016;7,3
13;62;2017;7,3
14;62;2018;7,4
15;62;2019;7,6
16;95;2005;6,4
17;95;2006;6,3
18;95;2007;6,5
19;95;2008;6,2
20;95;2009;6,1
21;95;2010;6,2
22;95;2011;6,1
23;95;2012;6
24;95;2013;6
25;95;2014;5,9
26;95;2015;5,9
27;95;2016;6,1
28;95;2017;5,8
29;95;2018;5,7
30;95;2019;5,7
31;98;2005;86,7
32;98;2006;85,1
33;98;2007;90,1
34;98;2008;81,7
35;98;2009;87
36;98;2010;87,5
37;98;2011;85,6
38;98;2012;82,1
39;98;2013;88,5
40;98;2014;87,9
41;98;2015;89,1
42;98;2016;98,8
43;98;2017;95,1
44;98;2018;91
45;98;2019;97,1
46;104;2005;47,4
47;104;2006;48,5
48;104;2007;49,3
49;104;2008;49,2
50;104;2009;44,8
51;104;2010;44
52;104;2011;45,2
53;104;2012;45,9
54;104;2013;46,7
55;104;2014;45,1
56;104;2015;44,7
57;104;2016;43,2
58;104;2017;43
59;104;2018;42,9
60;104;2019;41,4
61;107;2005;138,5
62;107;2006;136,7
63;107;2007;136,6
64;107;2008;133,3
65;107;2009;132,5
66;107;2010;131,4
67;107;2011;128,5
68;107;2012;128,6
69;107;2013;128,1
70;107;2014;126
71;107;2015;125,6
72;107;2016;124,2
73;107;2017;122,4
74;107;2018;118,3
75;107;2019;117,1
76;140;2005;11,7
77;140;2006;13,2
78;140;2007;14,2
79;140;2008;14,9
80;140;2009;13,3
81;140;2010;12,8
82;140;2011;13,8
83;140;2012;13,1
84;140;2013;14,3
85;140;2014;13,2
86;140;2015;13,7
87;140;2016;14
88;140;2017;13,9
89;140;2018;13,5
90;140;2019;13,9
91;143;2005;8,5
92;143;2006;8,5
93;143;2007;8,2
94;143;2008;8,6
95;143;2009;8,3
96;143;2010;8,4
97;143;2011;8,4
98;143;2012;9
99;143;2013;8,4
100;143;2014;9,2
101;143;2015;8,1
102;143;2016;8,1
103;143;2017;8,7
104;143;2018;9
105;143;2019;8,1
106;147;2005;10,5
107;147;2006;10
108;147;2007;9,1
109;147;2008;9,5
110;147;2009;9,3
111;147;2010;9,3
112;147;2011;9,1
113;147;2012;10,4
114;147;2013;10,5
115;147;2014;11,2
116;147;2015;11
117;147;2016;10,7
118;147;2017;10,9
119;147;2018;10,5
120;147;2019;10,5
121;170;2005;13,3
122;170;2006;12,9
123;170;2007;13,3
124;170;2008;12,5
125;170;2009;12,1
126;170;2010;11,9
127;170;2011;11,7
128;170;2012;11,1
129;170;2013;10,8
130;170;2014;10,6
131;170;2015;9,7
132;170;2016;9,7
133;170;2017;9,3
134;170;2018;8,8
135;170;2019;9,2
136;172;2005;8,9
137;172;2006;8,5
138;172;2007;8,5
139;172;2008;8,3
140;172;2009;8
141;172;2010;7,9
142;172;2011;7,6
143;172;2012;7,5
144;172;2013;7,4
145;172;2014;7,2
146;172;2015;6,6
147;172;2016;6,5
148;172;2017;6,5
149;172;2018;6
150;172;2019;6,2
151;175;2005;15,5
152;175;2006;15,2
153;175;2007;15,6
154;175;2008;14,5
155;175;2009;14,1
156;175;2010;13,8
157;175;2011;13,5
158;175;2012;13
159;175;2013;12,6
160;175;2014;12,2
161;175;2015;11,3
162;175;2016;11,6
163;175;2017;11
164;175;2018;10,6
165;175;2019;11
166;177;2005;1,6
167;177;2006;2
168;177;2007;1,3
169;177;2008;1,6
170;177;2009;1,5
171;177;2010;1,8
172;177;2011;1,3
173;177;2012;1,1
174;177;2013;1,4
175;177;2014;1,4
176;177;2015;1,1
177;177;2016;1,1
178;177;2017;1,1
179;177;2018;1
180;177;2019;0,8
181;178;2005;7
182;178;2006;7,8
183;178;2007;9,4
184;178;2008;8,3
185;178;2009;10,3
186;178;2010;7,9
187;178;2011;8
188;178;2012;6,8
189;178;2013;7,3
190;178;2014;6,2
191;178;2015;6,4
192;178;2016;7,4
193;178;2017;6,4
194;178;2018;6
195;178;2019;5,2
196;179;2005;39,2
197;179;2006;47,8
198;179;2007;43,7
199;179;2008;39,7
200;179;2009;55
201;179;2010;43,8
202;179;2011;39,8
203;179;2012;34,9
204;179;2013;32,5
205;179;2014;37,3
206;179;2015;38,7
207;179;2016;33,7
208;179;2017;28,7
209;179;2018;37,5
210;179;2019;30,1
211;198;2005;74,5
212;198;2006;74,6
213;198;2007;74,8
214;198;2008;75
215;198;2009;75,1
216;198;2010;75,3
217;198;2011;75,4
218;198;2012;75,6
219;198;2013;75,8
220;198;2014;75,9
221;198;2015;76,1
222;198;2016;76,2
223;198;2017;76,4
224;198;2018;76,5
225;198;2019;76,7
226;208;2005;2,4
227;208;2006;2,4
228;208;2007;2,4
229;208;2008;2,4
230;208;2009;2,4
231;208;2010;2,4
232;208;2011;2,3
233;208;2012;2,3
234;208;2013;2,3
235;208;2014;2,3
236;208;2015;2,3
237;208;2016;2,3
238;208;2017;2,3
239;208;2018;2,3
240;208;2019;2,3
