;ID;Year;Value
1;62;2005;14
2;62;2006;13,6
3;62;2007;11,8
4;62;2008;11,7
5;62;2009;12,4
6;62;2010;11
7;62;2011;11,5
8;62;2012;10
9;62;2013;11
10;62;2014;10,8
11;62;2015;9,8
12;62;2016;10,9
13;62;2017;10,24285714
14;62;2018;2
15;62;2019;2,9
16;95;2005;6,4
17;95;2006;6,3
18;95;2007;6,2
19;95;2008;6,1
20;95;2009;5,9
21;95;2010;5,9
22;95;2011;5,9
23;95;2012;5,8
24;95;2013;5,8
25;95;2014;5,8
26;95;2015;5,8
27;95;2016;5,8
28;95;2017;5,8
29;95;2018;5,8
30;95;2019;6
31;98;2005;114,9
32;98;2006;110,1
33;98;2007;99,1
34;98;2008;93,3
35;98;2009;88,1
36;98;2010;87,1
37;98;2011;87,4
38;98;2012;85,2
39;98;2013;79,5
40;98;2014;83,7
41;98;2015;84
42;98;2016;85
43;98;2017;83,9
44;98;2018;82,3
45;98;2019;82,7
46;104;2005;29,8
47;104;2006;30,6
48;104;2007;30,9
49;104;2008;32,9
50;104;2009;35,4
51;104;2010;39,6
52;104;2011;39,5
53;104;2012;41,4
54;104;2013;39,3
55;104;2014;35,2
56;104;2015;39,6
57;104;2016;32,6
58;104;2017;35,5
59;104;2018;36,2
60;104;2019;36,9
61;107;2005;141,4
62;107;2006;135,7
63;107;2007;135,3
64;107;2008;134,9
65;107;2009;139,2
66;107;2010;138,5
67;107;2011;138,8
68;107;2012;133,1
69;107;2013;132,7
70;107;2014;134,8
71;107;2015;134,5
72;107;2016;134,4
73;107;2017;134,6
74;107;2018;136,1
75;107;2019;140
76;140;2005;8,2
77;140;2006;7,2
78;140;2007;8,3
79;140;2008;5,1
80;140;2009;8,6
81;140;2010;8,5
82;140;2011;10,8
83;140;2012;14,5
84;140;2013;14,1
85;140;2014;8,3
86;140;2015;13,2
87;140;2016;5,5
88;140;2017;8,3
89;140;2018;8,1
90;140;2019;8
91;143;2005;2,2
92;143;2006;1,3
93;143;2007;1,3
94;143;2008;0,7
95;143;2009;1,1
96;143;2010;1,2
97;143;2011;0,6
98;143;2012;0,2
99;143;2013;0,1
100;143;2014;0,3
101;143;2015;0,3
102;143;2016;0,3
103;143;2017;0,3
104;143;2018;0,3
105;143;2019;0,3
106;147;2005;16,7
107;147;2006;17,6
108;147;2007;17,1
109;147;2008;17,4
110;147;2009;16,4
111;147;2010;16,7
112;147;2011;16,2
113;147;2012;17,3
114;147;2013;15,2
115;147;2014;15,5
116;147;2015;15,2
117;147;2016;14,8
118;147;2017;15,8
119;147;2018;15,9
120;147;2019;15,9
121;170;2005;14,2
122;170;2006;12,74166667
123;170;2007;12,74166667
124;170;2008;13,3
125;170;2009;10,9
126;170;2010;13,4
127;170;2011;18,1
128;170;2012;10,7
129;170;2013;12,4
130;170;2014;11,6
131;170;2015;12,9
132;170;2016;14,2
133;170;2017;12,74166667
134;170;2018;12,6
135;170;2019;8,6
136;172;2005;11,7
137;172;2006;9,3
138;172;2007;9,3
139;172;2008;10,6
140;172;2009;8,7
141;172;2010;11,4
142;172;2011;12,7
143;172;2012;8,3
144;172;2013;8,4
145;172;2014;8,6
146;172;2015;8
147;172;2016;8,8
148;172;2017;9,3
149;172;2018;8,1
150;172;2019;6,3
151;175;2005;13,73
152;175;2006;13,73
153;175;2007;13,73
154;175;2008;13,73
155;175;2009;12,8
156;175;2010;14,3
157;175;2011;19,3
158;175;2012;11,6
159;175;2013;14,2
160;175;2014;12
161;175;2015;14,6
162;175;2016;14,9
163;175;2017;13,73
164;175;2018;13,4
165;175;2019;10,2
166;177;2005;1,8
167;177;2006;1,8
168;177;2007;0
169;177;2008;0
170;177;2009;0
171;177;2010;0
172;177;2011;0
173;177;2012;0
174;177;2013;0
175;177;2014;0
176;177;2015;0
177;177;2016;0
178;177;2017;0
179;177;2018;0
180;177;2019;0
181;178;2005;7
182;178;2006;7,1
183;178;2007;5,5
184;178;2008;3,8
185;178;2009;1,9
186;178;2010;2
187;178;2011;2
188;178;2012;2,1
189;178;2013;0
190;178;2014;2,3
191;178;2015;2,3
192;178;2016;2,4
193;178;2017;2,4
194;178;2018;2,6
195;178;2019;2,6
196;179;2005;0
197;179;2006;40,98181818
198;179;2007;0
199;179;2008;40,98181818
200;179;2009;40,98181818
201;179;2010;58
202;179;2011;60,2
203;179;2012;30,6
204;179;2013;33,7
205;179;2014;0
206;179;2015;34,8
207;179;2016;114,9
208;179;2017;40,98181818
209;179;2018;40,5
210;179;2019;78,1
211;198;2005;77,9
212;198;2006;78
213;198;2007;78,1
214;198;2008;78,2
215;198;2009;78,3
216;198;2010;78,4
217;198;2011;78,5
218;198;2012;78,6
219;198;2013;78,6
220;198;2014;78,7
221;198;2015;78,8
222;198;2016;78,9
223;198;2017;79
224;198;2018;79,1
225;198;2019;79,2
226;208;2005;1,8
227;208;2006;1,8
228;208;2007;1,8
229;208;2008;1,7
230;208;2009;1,7
231;208;2010;1,7
232;208;2011;1,7
233;208;2012;1,7
234;208;2013;1,6
235;208;2014;1,6
236;208;2015;1,6
237;208;2016;1,6
238;208;2017;1,6
239;208;2018;1,6
240;208;2019;1,6
