;ID;Year;Value
1;62;2005;5,5
2;62;2006;5,9
3;62;2007;6,178571429
4;62;2008;5,9
5;62;2009;5,9
6;62;2010;5,8
7;62;2011;5,9
8;62;2012;6
9;62;2013;6,2
10;62;2014;6,2
11;62;2015;6,3
12;62;2016;6,3
13;62;2017;6,7
14;62;2018;7
15;62;2019;6,9
16;95;2005;5,2
17;95;2006;4,9
18;95;2007;5
19;95;2008;4,7
20;95;2009;4,8
21;95;2010;4,9
22;95;2011;4,6
23;95;2012;4,6
24;95;2013;4,5
25;95;2014;4,4
26;95;2015;4,3
27;95;2016;4,2
28;95;2017;4,1
29;95;2018;4
30;95;2019;4
31;98;2005;42,2
32;98;2006;38,8
33;98;2007;42,2
34;98;2008;37
35;98;2009;39,4
36;98;2010;40,5
37;98;2011;34,4
38;98;2012;37,1
39;98;2013;38,8
40;98;2014;38,3
41;98;2015;33,3
42;98;2016;31
43;98;2017;30,4
44;98;2018;32,3
45;98;2019;29,5
46;104;2005;48,7
47;104;2006;49,2
48;104;2007;44,4
49;104;2008;45,3
50;104;2009;44,3
51;104;2010;44,9
52;104;2011;40,9
53;104;2012;38,5
54;104;2013;38,3
55;104;2014;38,9
56;104;2015;39,8
57;104;2016;37,3
58;104;2017;38,5
59;104;2018;38,4
60;104;2019;38,4
61;107;2005;126,4
62;107;2006;123,3
63;107;2007;119
64;107;2008;117
65;107;2009;121,2
66;107;2010;119,6
67;107;2011;118,3
68;107;2012;117,8
69;107;2013;114,8
70;107;2014;113,1
71;107;2015;112,2
72;107;2016;110
73;107;2017;106,7
74;107;2018;105,1
75;107;2019;104
76;140;2005;17,5
77;140;2006;18,3
78;140;2007;12,9
79;140;2008;13,8
80;140;2009;11,9
81;140;2010;11,9
82;140;2011;11,5
83;140;2012;11
84;140;2013;11,5
85;140;2014;11,4
86;140;2015;11,4
87;140;2016;11,3
88;140;2017;12,7
89;140;2018;12,7
90;140;2019;13,5
91;143;2005;9,5
92;143;2006;9,7
93;143;2007;10,6
94;143;2008;11,8
95;143;2009;12,1
96;143;2010;11
97;143;2011;11
98;143;2012;9,9
99;143;2013;9,1
100;143;2014;9,1
101;143;2015;9,2
102;143;2016;9,2
103;143;2017;8,4
104;143;2018;8
105;143;2019;8
106;147;2005;10,4
107;147;2006;10
108;147;2007;8
109;147;2008;7,7
110;147;2009;9,7
111;147;2010;7,9
112;147;2011;8,3
113;147;2012;7
114;147;2013;6,9
115;147;2014;8,5
116;147;2015;7,9
117;147;2016;6,9
118;147;2017;6,9
119;147;2018;6,8
120;147;2019;6,7
121;170;2005;7,9
122;170;2006;7,6
123;170;2007;8,3
124;170;2008;7,8
125;170;2009;7,9
126;170;2010;7,4
127;170;2011;7,7
128;170;2012;7,4
129;170;2013;7
130;170;2014;7,2
131;170;2015;6,9
132;170;2016;7
133;170;2017;7,1
134;170;2018;6,6
135;170;2019;6,5
136;172;2005;5,233333333
137;172;2006;5,233333333
138;172;2007;5,233333333
139;172;2008;5,5
140;172;2009;5,4
141;172;2010;5,1
142;172;2011;5,4
143;172;2012;5,4
144;172;2013;5,2
145;172;2014;5,2
146;172;2015;5,1
147;172;2016;5,2
148;172;2017;5,5
149;172;2018;5
150;172;2019;4,8
151;175;2005;8,327272727
152;175;2006;8,327272727
153;175;2007;8,327272727
154;175;2008;8,327272727
155;175;2009;9,1
156;175;2010;8,7
157;175;2011;8,8
158;175;2012;8,8
159;175;2013;8,1
160;175;2014;8,4
161;175;2015;7,9
162;175;2016;8,1
163;175;2017;8,1
164;175;2018;7,8
165;175;2019;7,8
166;177;2005;0,4
167;177;2006;0,1
168;177;2007;0,3
169;177;2008;0,5
170;177;2009;0,3
171;177;2010;0,2
172;177;2011;0
173;177;2012;0
174;177;2013;0,2
175;177;2014;0,3
176;177;2015;0,4
177;177;2016;0,2
178;177;2017;0,3
179;177;2018;0,2
180;177;2019;0,3
181;178;2005;6,2
182;178;2006;4,7
183;178;2007;5,3
184;178;2008;5,7
185;178;2009;6
186;178;2010;4,1
187;178;2011;3,6
188;178;2012;2,8
189;178;2013;3,8
190;178;2014;2,8
191;178;2015;3,3
192;178;2016;3
193;178;2017;3
194;178;2018;2,4
195;178;2019;2,3
196;179;2005;19,8
197;179;2006;18,1
198;179;2007;18,2
199;179;2008;16,9
200;179;2009;19,7
201;179;2010;18,3
202;179;2011;18,5
203;179;2012;17,2
204;179;2013;15,2
205;179;2014;13,5
206;179;2015;15,5
207;179;2016;9
208;179;2017;17,3
209;179;2018;13,5
210;179;2019;10,9
211;198;2005;77,6
212;198;2006;77,9
213;198;2007;78,1
214;198;2008;78,3
215;198;2009;78,6
216;198;2010;78,8
217;198;2011;79
218;198;2012;79,2
219;198;2013;79,4
220;198;2014;79,5
221;198;2015;79,7
222;198;2016;79,8
223;198;2017;79,9
224;198;2018;80
225;198;2019;80,2
226;208;2005;1,9
227;208;2006;1,9
228;208;2007;1,9
229;208;2008;1,9
230;208;2009;1,9
231;208;2010;1,9
232;208;2011;1,9
233;208;2012;1,9
234;208;2013;1,8
235;208;2014;1,8
236;208;2015;1,8
237;208;2016;1,7
238;208;2017;1,7
239;208;2018;1,7
240;208;2019;1,6
