;ID;Year;Value
1;62;2005;8,2
2;62;2006;8,3
3;62;2007;8,2
4;62;2008;8,2
5;62;2009;8,2
6;62;2010;8,2
7;62;2011;8,1
8;62;2012;8
9;62;2013;8
10;62;2014;8
11;62;2015;8,1
12;62;2016;8,2
13;62;2017;8,3
14;62;2018;8,3
15;62;2019;8,3
16;95;2005;5,3
17;95;2006;5,2
18;95;2007;5,1
19;95;2008;5
20;95;2009;4,9
21;95;2010;4,8
22;95;2011;4,8
23;95;2012;4,7
24;95;2013;4,7
25;95;2014;4,7
26;95;2015;4,8
27;95;2016;4,8
28;95;2017;4,8
29;95;2018;4,8
30;95;2019;4,8
31;98;2005;36,6
32;98;2006;34,3
33;98;2007;33,2
34;98;2008;33,5
35;98;2009;32,7
36;98;2010;30
37;98;2011;30,3
38;98;2012;29
39;98;2013;30,2
40;98;2014;29,9
41;98;2015;29,7
42;98;2016;28,7
43;98;2017;28,6
44;98;2018;28,5
45;98;2019;28,3
46;104;2005;47,5
47;104;2006;46,6
48;104;2007;46
49;104;2008;44
50;104;2009;41,8
51;104;2010;41,6
52;104;2011;41,8
53;104;2012;41,7
54;104;2013;40,8
55;104;2014;41,1
56;104;2015;43
57;104;2016;45,6
58;104;2017;46,5
59;104;2018;45,2
60;104;2019;45,9
61;107;2005;129,9
62;107;2006;127,4
63;107;2007;125,3
64;107;2008;123,4
65;107;2009;121,3
66;107;2010;119,7
67;107;2011;117,4
68;107;2012;116,1
69;107;2013;113,8
70;107;2014;112,3
71;107;2015;110,3
72;107;2016;108,2
73;107;2017;105,8
74;107;2018;104,3
75;107;2019;102,5
76;140;2005;15,1
77;140;2006;15
78;140;2007;14,4
79;140;2008;12,8
80;140;2009;11,5
81;140;2010;11
82;140;2011;10,8
83;140;2012;11,1
84;140;2013;10,5
85;140;2014;10,4
86;140;2015;10,9
87;140;2016;11,7
88;140;2017;11,5
89;140;2018;11,1
90;140;2019;11,1
91;143;2005;10,7
92;143;2006;11
93;143;2007;11,2
94;143;2008;11,4
95;143;2009;11,4
96;143;2010;11,7
97;143;2011;12
98;143;2012;12,1
99;143;2013;12
100;143;2014;12,4
101;143;2015;12,9
102;143;2016;13,6
103;143;2017;14,4
104;143;2018;14,1
105;143;2019;14,5
106;147;2005;10,5
107;147;2006;10,7
108;147;2007;10,5
109;147;2008;10,1
110;147;2009;9,4
111;147;2010;9
112;147;2011;8,8
113;147;2012;9
114;147;2013;8,6
115;147;2014;8,4
116;147;2015;9,5
117;147;2016;10,4
118;147;2017;10,5
119;147;2018;9,6
120;147;2019;9,7
121;170;2005;6,9
122;170;2006;6,7
123;170;2007;6,8
124;170;2008;6,6
125;170;2009;6,4
126;170;2010;6,2
127;170;2011;6,1
128;170;2012;6
129;170;2013;6
130;170;2014;5,8
131;170;2015;5,9
132;170;2016;5,9
133;170;2017;5,8
134;170;2018;5,7
135;170;2019;5,6
136;172;2005;4,5
137;172;2006;4,5
138;172;2007;4,4
139;172;2008;4,3
140;172;2009;4,2
141;172;2010;4
142;172;2011;4,1
143;172;2012;4
144;172;2013;4
145;172;2014;3,9
146;172;2015;3,9
147;172;2016;3,9
148;172;2017;3,8
149;172;2018;3,8
150;172;2019;4,092857143
151;175;2005;8
152;175;2006;7,8
153;175;2007;7,8
154;175;2008;7,7
155;175;2009;7,5
156;175;2010;7,2
157;175;2011;7,1
158;175;2012;7
159;175;2013;7
160;175;2014;6,8
161;175;2015;6,9
162;175;2016;6,9
163;175;2017;6,8
164;175;2018;6,7
165;175;2019;6,7
166;177;2005;1,9
167;177;2006;2
168;177;2007;2,1
169;177;2008;2,1
170;177;2009;2
171;177;2010;2
172;177;2011;1,7
173;177;2012;1,6
174;177;2013;1,5
175;177;2014;1,4
176;177;2015;1,5
177;177;2016;1,5
178;177;2017;1,5
179;177;2018;1,5
180;177;2019;1,5
181;178;2005;3
182;178;2006;3,1
183;178;2007;2,8
184;178;2008;3
185;178;2009;3,4
186;178;2010;2,8
187;178;2011;3,1
188;178;2012;2,5
189;178;2013;2,8
190;178;2014;2,9
191;178;2015;2,7
192;178;2016;2,8
193;178;2017;2,8
194;178;2018;2,5
195;178;2019;2,4
196;179;2005;15,1
197;179;2006;13,3
198;179;2007;12,7
199;179;2008;15,72
200;179;2009;15,72
201;179;2010;15,72
202;179;2011;15,72
203;179;2012;15,72
204;179;2013;15,72
205;179;2014;15,72
206;179;2015;15,72
207;179;2016;15,72
208;179;2017;15,72
209;179;2018;17,4
210;179;2019;20,1
211;198;2005;77,7
212;198;2006;77,9
213;198;2007;78,1
214;198;2008;78,3
215;198;2009;78,5
216;198;2010;78,7
217;198;2011;78,8
218;198;2012;78,9
219;198;2013;78,9
220;198;2014;78,9
221;198;2015;78,9
222;198;2016;78,9
223;198;2017;78,9
224;198;2018;78,9
225;198;2019;78,9
226;208;2005;2,1
227;208;2006;2,1
228;208;2007;2,1
229;208;2008;2
230;208;2009;2
231;208;2010;2
232;208;2011;1,9
233;208;2012;1,9
234;208;2013;1,9
235;208;2014;1,8
236;208;2015;1,8
237;208;2016;1,8
238;208;2017;1,8
239;208;2018;1,8
240;208;2019;1,8
