;ID;Year;Value
1;62;2005;8,8
2;62;2006;8,3
3;62;2007;7,8
4;62;2008;5
5;62;2009;5,2
6;62;2010;5,2
7;62;2011;5,3
8;62;2012;5,4
9;62;2013;5,5
10;62;2014;5,7
11;62;2015;5,8
12;62;2016;5,9
13;62;2017;6
14;62;2018;6,9
15;62;2019;6,7
16;95;2005;6
17;95;2006;5,9
18;95;2007;5,8
19;95;2008;6
20;95;2009;5,9
21;95;2010;6
22;95;2011;5,8
23;95;2012;5,8
24;95;2013;5,7
25;95;2014;5,8
26;95;2015;5,8
27;95;2016;5,9
28;95;2017;5,9
29;95;2018;5,8
30;95;2019;5,8
31;98;2005;73,1
32;98;2006;69,6
33;98;2007;66,5
34;98;2008;66
35;98;2009;65,7
36;98;2010;63
37;98;2011;60,3
38;98;2012;58,6
39;98;2013;59
40;98;2014;58,5
41;98;2015;55
42;98;2016;55,7
43;98;2017;54,4
44;98;2018;52,5
45;98;2019;51,2
46;104;2005;57
47;104;2006;56,2
48;104;2007;54,4
49;104;2008;59,7
50;104;2009;63,1
51;104;2010;66,7
52;104;2011;66,5
53;104;2012;63,8
54;104;2013;58,1
55;104;2014;54,4
56;104;2015;55,1
57;104;2016;57,7
58;104;2017;62,2
59;104;2018;58,5
60;104;2019;58,7
61;107;2005;81,6
62;107;2006;80,1
63;107;2007;77,6
64;107;2008;78,6
65;107;2009;76,5
66;107;2010;76,2
67;107;2011;74,8
68;107;2012;74,4
69;107;2013;72,3
70;107;2014;73,6
71;107;2015;73,6
72;107;2016;74
73;107;2017;73,2
74;107;2018;71,7
75;107;2019;71
76;140;2005;16,7
77;140;2006;16,6
78;140;2007;14,8
79;140;2008;16,1
80;140;2009;16,5
81;140;2010;15
82;140;2011;14,9
83;140;2012;15
84;140;2013;13,8
85;140;2014;13,7
86;140;2015;13,9
87;140;2016;13,8
88;140;2017;13,3
89;140;2018;13,1
90;140;2019;12,9
91;143;2005;4,4
92;143;2006;4,2
93;143;2007;4,3
94;143;2008;4,6
95;143;2009;4,8
96;143;2010;4,7
97;143;2011;5,4
98;143;2012;4,9
99;143;2013;5,3
100;143;2014;5,7
101;143;2015;5,6
102;143;2016;5,6
103;143;2017;5,9
104;143;2018;5,4
105;143;2019;5,3
106;147;2005;19,1
107;147;2006;19,7
108;147;2007;15,6
109;147;2008;25,5
110;147;2009;33,4
111;147;2010;43,4
112;147;2011;46,3
113;147;2012;42,3
114;147;2013;35,8
115;147;2014;30,9
116;147;2015;31,5
117;147;2016;36,9
118;147;2017;46,5
119;147;2018;44,2
120;147;2019;46,2
121;170;2005;18,3
122;170;2006;17,8
123;170;2007;17,3
124;170;2008;16,9
125;170;2009;16,5
126;170;2010;16,2
127;170;2011;15,3
128;170;2012;14,8
129;170;2013;14,4
130;170;2014;13,6
131;170;2015;13,6
132;170;2016;13,4
133;170;2017;13,5
134;170;2018;12,9
135;170;2019;13,1
136;172;2005;11,4
137;172;2006;11,2
138;172;2007;10,8
139;172;2008;10,7
140;172;2009;10,6
141;172;2010;10,2
142;172;2011;9,6
143;172;2012;9,3
144;172;2013;8,7
145;172;2014;8,4
146;172;2015;8,5
147;172;2016;8,3
148;172;2017;8,4
149;172;2018;8,2
150;172;2019;8,2
151;175;2005;21,1
152;175;2006;20,5
153;175;2007;20
154;175;2008;19,5
155;175;2009;19,1
156;175;2010;18,7
157;175;2011;18
158;175;2012;17,3
159;175;2013;16,9
160;175;2014;15,9
161;175;2015;16
162;175;2016;15,8
163;175;2017;15,8
164;175;2018;15,2
165;175;2019;15,4
166;177;2005;6,5
167;177;2006;5,6
168;177;2007;5,6
169;177;2008;4,7
170;177;2009;3,8
171;177;2010;3,3
172;177;2011;3,3
173;177;2012;3,2
174;177;2013;3,4
175;177;2014;3,2
176;177;2015;2,9
177;177;2016;3,3
178;177;2017;2,8
179;177;2018;2,7
180;177;2019;2,6
181;178;2005;15,2
182;178;2006;15,1
183;178;2007;13,7
184;178;2008;13
185;178;2009;13,1
186;178;2010;12,8
187;178;2011;13,3
188;178;2012;12
189;178;2013;11,8
190;178;2014;11,7
191;178;2015;10,1
192;178;2016;9,7
193;178;2017;9,7
194;178;2018;9,4
195;178;2019;9,3
196;179;2005;54,5
197;179;2006;51,3
198;179;2007;48,3
199;179;2008;49,3
200;179;2009;53,2
201;179;2010;43,7
202;179;2011;42,9
203;179;2012;42,1
204;179;2013;37,9
205;179;2014;38,7
206;179;2015;35
207;179;2016;37,2
208;179;2017;35
209;179;2018;34,6
210;179;2019;34,2
211;198;2005;75,3
212;198;2006;75,3
213;198;2007;75,3
214;198;2008;75,2
215;198;2009;75,1
216;198;2010;75,1
217;198;2011;75
218;198;2012;75
219;198;2013;74,9
220;198;2014;74,9
221;198;2015;74,9
222;198;2016;74,9
223;198;2017;75
224;198;2018;75
225;198;2019;75,1
226;208;2005;2,5
227;208;2006;2,5
228;208;2007;2,4
229;208;2008;2,4
230;208;2009;2,4
231;208;2010;2,3
232;208;2011;2,3
233;208;2012;2,3
234;208;2013;2,3
235;208;2014;2,2
236;208;2015;2,2
237;208;2016;2,2
238;208;2017;2,2
239;208;2018;2,1
240;208;2019;2,1
