;ID;Year;Value
1;62;2005;4,8
2;62;2006;7,9
3;62;2007;9,966666667
4;62;2008;9,966666667
5;62;2009;9,966666667
6;62;2010;9,966666667
7;62;2011;9,966666667
8;62;2012;10,6
9;62;2013;8,7
10;62;2014;19,8
11;62;2015;8
12;62;2016;9,966666667
13;62;2017;9,966666667
14;62;2018;9,966666667
15;62;2019;9,966666667
16;95;2005;8,1
17;95;2006;7,9
18;95;2007;7,8
19;95;2008;7,6
20;95;2009;7,5
21;95;2010;7,6
22;95;2011;7,6
23;95;2012;7,6
24;95;2013;7,7
25;95;2014;7,5
26;95;2015;7,4
27;95;2016;7,2
28;95;2017;7,1
29;95;2018;7
30;95;2019;6,9
31;98;2005;129,2
32;98;2006;121,9
33;98;2007;113,6
34;98;2008;110,2
35;98;2009;119,5
36;98;2010;117,6
37;98;2011;116,8
38;98;2012;109
39;98;2013;110,8
40;98;2014;107,2
41;98;2015;108
42;98;2016;99,5
43;98;2017;97,1
44;98;2018;95,6
45;98;2019;94,2
46;104;2005;63,9
47;104;2006;60,6
48;104;2007;59,7
49;104;2008;61
50;104;2009;64,1
51;104;2010;57,2
52;104;2011;51,4
53;104;2012;52,6
54;104;2013;65,4
55;104;2014;51,5
56;104;2015;59,4
57;104;2016;61,4
58;104;2017;64,8
59;104;2018;61,8
60;104;2019;62,7
61;107;2005;121,9
62;107;2006;117,2
63;107;2007;115
64;107;2008;112,8
65;107;2009;116,2
66;107;2010;121,6
67;107;2011;120,7
68;107;2012;132,5
69;107;2013;130,2
70;107;2014;142,6
71;107;2015;133,9
72;107;2016;142,1
73;107;2017;134,1
74;107;2018;131,6
75;107;2019;131,1
76;140;2005;9,2
77;140;2006;13,7
78;140;2007;8,6
79;140;2008;5,2
80;140;2009;7,1
81;140;2010;3,4
82;140;2011;3,7
83;140;2012;5,7
84;140;2013;8
85;140;2014;6,1
86;140;2015;6,1
87;140;2016;6,2
88;140;2017;6,4
89;140;2018;6,8
90;140;2019;7,1
91;143;2005;9,8
92;143;2006;6,2
93;143;2007;8,2
94;143;2008;4,3
95;143;2009;2,7
96;143;2010;2,9
97;143;2011;5,4
98;143;2012;5,3
99;143;2013;3,7
100;143;2014;1,4
101;143;2015;3,3
102;143;2016;0,7
103;143;2017;0
104;143;2018;1
105;143;2019;1
106;147;2005;33,5
107;147;2006;33,5
108;147;2007;34,6
109;147;2008;31,1
110;147;2009;30,7
111;147;2010;31,3
112;147;2011;31,3
113;147;2012;32,2
114;147;2013;35
115;147;2014;38
116;147;2015;40,5
117;147;2016;43,1
118;147;2017;42,8
119;147;2018;43,7
120;147;2019;45,1
121;170;2005;15,7
122;170;2006;26,2
123;170;2007;17,75555556
124;170;2008;17,75555556
125;170;2009;14,2
126;170;2010;16,8
127;170;2011;22,3
128;170;2012;17,75555556
129;170;2013;17,3
130;170;2014;15,2
131;170;2015;15,5
132;170;2016;16,6
133;170;2017;17,75555556
134;170;2018;17,75555556
135;170;2019;17,75555556
136;172;2005;10,7
137;172;2006;17,9
138;172;2007;13,625
139;172;2008;13,625
140;172;2009;13,625
141;172;2010;14
142;172;2011;18,3
143;172;2012;13,625
144;172;2013;12,7
145;172;2014;14,1
146;172;2015;7,5
147;172;2016;13,8
148;172;2017;13,625
149;172;2018;13,625
150;172;2019;13,625
151;175;2005;18,48333333
152;175;2006;18,48333333
153;175;2007;18,48333333
154;175;2008;18,48333333
155;175;2009;18,48333333
156;175;2010;17,3
157;175;2011;23,5
158;175;2012;18,48333333
159;175;2013;17,8
160;175;2014;17,4
161;175;2015;17,1
162;175;2016;17,8
163;175;2017;18,48333333
164;175;2018;18,48333333
165;175;2019;18,48333333
166;177;2005;2,4
167;177;2006;2,4
168;177;2007;0
169;177;2008;0
170;177;2009;0
171;177;2010;0
172;177;2011;0
173;177;2012;0
174;177;2013;0
175;177;2014;3,4
176;177;2015;3,7
177;177;2016;3,8
178;177;2017;0
179;177;2018;0
180;177;2019;0
181;178;2005;2,4
182;178;2006;4,9
183;178;2007;2,5
184;178;2008;2,6
185;178;2009;2,7
186;178;2010;2,9
187;178;2011;6,1
188;178;2012;6,3
189;178;2013;6,7
190;178;2014;6,9
191;178;2015;7,4
192;178;2016;7,7
193;178;2017;4
194;178;2018;8,3
195;178;2019;13
196;179;2005;0
197;179;2006;0
198;179;2007;42,1875
199;179;2008;42,1875
200;179;2009;42,1875
201;179;2010;42,1875
202;179;2011;57,3
203;179;2012;53,5
204;179;2013;115,1
205;179;2014;54,3
206;179;2015;0
207;179;2016;57,3
208;179;2017;42,1875
209;179;2018;42,1875
210;179;2019;42,1875
211;198;2005;71,3
212;198;2006;71,5
213;198;2007;71,6
214;198;2008;71,6
215;198;2009;71,7
216;198;2010;71,8
217;198;2011;71,8
218;198;2012;71,9
219;198;2013;71,9
220;198;2014;72
221;198;2015;72,1
222;198;2016;72,2
223;198;2017;72,3
224;198;2018;72,4
225;198;2019;72,5
226;208;2005;2,2
227;208;2006;2,2
228;208;2007;2,1
229;208;2008;2,1
230;208;2009;2,1
231;208;2010;2,1
232;208;2011;2,1
233;208;2012;2
234;208;2013;2
235;208;2014;2
236;208;2015;2
237;208;2016;1,9
238;208;2017;1,9
239;208;2018;1,9
240;208;2019;1,9
