;ID;Year;Value
1;62;2005;11,1
2;62;2006;10,5
3;62;2007;10,2
4;62;2008;11,02222222
5;62;2009;11,02222222
6;62;2010;11,02222222
7;62;2011;11,02222222
8;62;2012;11,9
9;62;2013;12,8
10;62;2014;9,3
11;62;2015;11,4
12;62;2016;11
13;62;2017;11
14;62;2018;11,02222222
15;62;2019;11,02222222
16;95;2005;8,5
17;95;2006;8
18;95;2007;7,8
19;95;2008;8,2
20;95;2009;7,4
21;95;2010;7,6
22;95;2011;6,8
23;95;2012;6,8
24;95;2013;6,7
25;95;2014;6,4
26;95;2015;6,2
27;95;2016;6
28;95;2017;5,9
29;95;2018;5,7
30;95;2019;5,5
31;98;2005;84,4
32;98;2006;79,2
33;98;2007;74
34;98;2008;74,2
35;98;2009;72,3
36;98;2010;69
37;98;2011;59,4
38;98;2012;56,8
39;98;2013;55,9
40;98;2014;52,5
41;98;2015;50,7
42;98;2016;49,5
43;98;2017;49,6
44;98;2018;48,9
45;98;2019;46,8
46;104;2005;82,4
47;104;2006;80,6
48;104;2007;83,2
49;104;2008;94,2
50;104;2009;88,5
51;104;2010;85,4
52;104;2011;74,2
53;104;2012;76
54;104;2013;72,4
55;104;2014;72,6
56;104;2015;70,7
57;104;2016;69,3
58;104;2017;68,2
59;104;2018;69
60;104;2019;68,5
61;107;2005;160,2
62;107;2006;155,6
63;107;2007;154,8
64;107;2008;162,1
65;107;2009;149
66;107;2010;158,6
67;107;2011;146,3
68;107;2012;146,2
69;107;2013;141,1
70;107;2014;136
71;107;2015;131
72;107;2016;126,3
73;107;2017;122,2
74;107;2018;118,5
75;107;2019;114,9
76;140;2005;18,6
77;140;2006;19,3
78;140;2007;20
79;140;2008;23,4
80;140;2009;20,9
81;140;2010;19
82;140;2011;15
83;140;2012;16,8
84;140;2013;13,2
85;140;2014;14,1
86;140;2015;12,5
87;140;2016;11,5
88;140;2017;10,6
89;140;2018;9,8
90;140;2019;9,1
91;143;2005;12
92;143;2006;10,7
93;143;2007;10,5
94;143;2008;12,8
95;143;2009;10,4
96;143;2010;10,6
97;143;2011;9,2
98;143;2012;8,9
99;143;2013;10,1
100;143;2014;9,8
101;143;2015;9,5
102;143;2016;9,2
103;143;2017;9
104;143;2018;8,5
105;143;2019;8,3
106;147;2005;59,7
107;147;2006;59,3
108;147;2007;63,8
109;147;2008;68,9
110;147;2009;73
111;147;2010;69
112;147;2011;62,9
113;147;2012;66
114;147;2013;62
115;147;2014;62,6
116;147;2015;63,4
117;147;2016;64
118;147;2017;64,8
119;147;2018;69,4
120;147;2019;70,7
121;170;2005;15,4
122;170;2006;13,1
123;170;2007;11,9
124;170;2008;13,2
125;170;2009;12,1
126;170;2010;12,1
127;170;2011;12,1
128;170;2012;12,7
129;170;2013;12,1
130;170;2014;12
131;170;2015;8,9
132;170;2016;10,9
133;170;2017;11,4
134;170;2018;11,5
135;170;2019;12,1
136;172;2005;11,5
137;172;2006;9,4
138;172;2007;8,3
139;172;2008;9,4
140;172;2009;8,511111111
141;172;2010;8,511111111
142;172;2011;8,511111111
143;172;2012;8,6
144;172;2013;8,511111111
145;172;2014;8,511111111
146;172;2015;6
147;172;2016;6,6
148;172;2017;8,9
149;172;2018;7,9
150;172;2019;8,511111111
151;175;2005;17,7
152;175;2006;15,5
153;175;2007;14,4
154;175;2008;16
155;175;2009;15,23333333
156;175;2010;15,23333333
157;175;2011;15,23333333
158;175;2012;14,5
159;175;2013;15,23333333
160;175;2014;15,23333333
161;175;2015;15,23333333
162;175;2016;15,23333333
163;175;2017;13,3
164;175;2018;15,23333333
165;175;2019;15,23333333
166;177;2005;1,4
167;177;2006;1
168;177;2007;0
169;177;2008;0,8
170;177;2009;0,4
171;177;2010;0,4
172;177;2011;0,7
173;177;2012;1,2
174;177;2013;0,7
175;177;2014;0,8
176;177;2015;0,8
177;177;2016;0,8
178;177;2017;0,9
179;177;2018;0,9
180;177;2019;1
181;178;2005;7,4
182;178;2006;5,1
183;178;2007;7,2
184;178;2008;7,2
185;178;2009;8
186;178;2010;8,2
187;178;2011;6,3
188;178;2012;6
189;178;2013;7,3
190;178;2014;7,1
191;178;2015;7,2
192;178;2016;7,3
193;178;2017;7,3
194;178;2018;8
195;178;2019;8,1
196;179;2005;34,8
197;179;2006;66,3
198;179;2007;29,4
199;179;2008;55,3
200;179;2009;39,27
201;179;2010;52,4
202;179;2011;39,27
203;179;2012;39,27
204;179;2013;39,27
205;179;2014;39,27
206;179;2015;47,7
207;179;2016;33,1
208;179;2017;29,9
209;179;2018;18,1
210;179;2019;25,7
211;198;2005;70,7
212;198;2006;71
213;198;2007;71,2
214;198;2008;71,5
215;198;2009;71,7
216;198;2010;72
217;198;2011;72,2
218;198;2012;72,4
219;198;2013;72,6
220;198;2014;72,8
221;198;2015;72,9
222;198;2016;73,1
223;198;2017;73,3
224;198;2018;73,4
225;198;2019;73,5
226;208;2005;1,8
227;208;2006;1,8
228;208;2007;1,8
229;208;2008;1,8
230;208;2009;1,8
231;208;2010;1,8
232;208;2011;1,8
233;208;2012;1,8
234;208;2013;1,8
235;208;2014;1,8
236;208;2015;1,8
237;208;2016;1,8
238;208;2017;1,7
239;208;2018;1,7
240;208;2019;1,7
