;ID;Year;Value
1;62;2005;8,6
2;62;2006;8,5
3;62;2007;8,2
4;62;2008;8,3
5;62;2009;8,3
6;62;2010;8,1
7;62;2011;8,3
8;62;2012;8,1
9;62;2013;7,6
10;62;2014;7,5
11;62;2015;7,7
12;62;2016;7,8
13;62;2017;8,1
14;62;2018;7,6
15;62;2019;8
16;95;2005;6,1
17;95;2006;5,8
18;95;2007;6,3
19;95;2008;5,7
20;95;2009;5,6
21;95;2010;5,8
22;95;2011;5,7
23;95;2012;5,7
24;95;2013;5,6
25;95;2014;5,4
26;95;2015;5,5
27;95;2016;5,6
28;95;2017;5,3
29;95;2018;5,4
30;95;2019;5,5
31;98;2005;49,5
32;98;2006;44,1
33;98;2007;53,8
34;98;2008;45,4
35;98;2009;47,7
36;98;2010;47,9
37;98;2011;45,2
38;98;2012;50,3
39;98;2013;46,5
40;98;2014;42
41;98;2015;40,5
42;98;2016;43,7
43;98;2017;40
44;98;2018;40,1
45;98;2019;40,1
46;104;2005;52,5
47;104;2006;53,2
48;104;2007;56,3
49;104;2008;55,5
50;104;2009;54,3
51;104;2010;56,3
52;104;2011;57,1
53;104;2012;59,1
54;104;2013;61,3
55;104;2014;59,8
56;104;2015;58,5
57;104;2016;56,9
58;104;2017;56,8
59;104;2018;60,4
60;104;2019;59,5
61;107;2005;165,1
62;107;2006;161,7
63;107;2007;163,9
64;107;2008;161,1
65;107;2009;156,1
66;107;2010;156,8
67;107;2011;157,5
68;107;2012;155,7
69;107;2013;155,8
70;107;2014;156,7
71;107;2015;155,3
72;107;2016;156,5
73;107;2017;144,9
74;107;2018;152,7
75;107;2019;152,6
76;140;2005;12
77;140;2006;13,7
78;140;2007;13,7
79;140;2008;15,3
80;140;2009;15,8
81;140;2010;16,4
82;140;2011;16,6
83;140;2012;14,8
84;140;2013;16,4
85;140;2014;15,5
86;140;2015;14,4
87;140;2016;12,5
88;140;2017;13,3
89;140;2018;14,8
90;140;2019;13,8
91;143;2005;13,3
92;143;2006;13,8
93;143;2007;15,8
94;143;2008;13,5
95;143;2009;13,4
96;143;2010;14,3
97;143;2011;15
98;143;2012;16,1
99;143;2013;14,2
100;143;2014;15,8
101;143;2015;16,7
102;143;2016;18,7
103;143;2017;18,5
104;143;2018;18,8
105;143;2019;18,8
106;147;2005;9,2
107;147;2006;10
108;147;2007;9,5
109;147;2008;10,7
110;147;2009;11,1
111;147;2010;10,1
112;147;2011;9,8
113;147;2012;13,2
114;147;2013;12,5
115;147;2014;13
116;147;2015;13,5
117;147;2016;13,5
118;147;2017;13,7
119;147;2018;14,2
120;147;2019;14,5
121;170;2005;12,7
122;170;2006;10,6
123;170;2007;12,1
124;170;2008;10,6
125;170;2009;9,6
126;170;2010;7,7
127;170;2011;8,9
128;170;2012;9,3
129;170;2013;8,8
130;170;2014;7,8
131;170;2015;7,5
132;170;2016;8
133;170;2017;6,5
134;170;2018;6,8
135;170;2019;6,8
136;172;2005;7
137;172;2006;6,5
138;172;2007;6,7
139;172;2008;5,9
140;172;2009;5
141;172;2010;4
142;172;2011;5,7
143;172;2012;5,6
144;172;2013;5,3
145;172;2014;5
146;172;2015;5
147;172;2016;5,4
148;172;2017;4,3
149;172;2018;4,6
150;172;2019;4,5
151;175;2005;15,3
152;175;2006;12,4
153;175;2007;13,8
154;175;2008;12,5
155;175;2009;11,3
156;175;2010;9,5
157;175;2011;10,53571429
158;175;2012;10,9
159;175;2013;10,2
160;175;2014;9
161;175;2015;8,7
162;175;2016;9,1
163;175;2017;7,9
164;175;2018;8,4
165;175;2019;8,5
166;177;2005;2,4
167;177;2006;0,3
168;177;2007;2,2
169;177;2008;1,7
170;177;2009;2,2
171;177;2010;2,8
172;177;2011;1,4
173;177;2012;0,8
174;177;2013;2
175;177;2014;0,9
176;177;2015;0,5
177;177;2016;0,7
178;177;2017;0,6
179;177;2018;0,6
180;177;2019;0,6
181;178;2005;6,9
182;178;2006;11,9
183;178;2007;12
184;178;2008;11,6
185;178;2009;12,2
186;178;2010;7,2
187;178;2011;7,9
188;178;2012;7,1
189;178;2013;4,4
190;178;2014;3,9
191;178;2015;3,7
192;178;2016;6
193;178;2017;4,4
194;178;2018;3,8
195;178;2019;3,5
196;179;2005;19,1
197;179;2006;12,7
198;179;2007;27,4
199;179;2008;14,8
200;179;2009;33,9
201;179;2010;14,8
202;179;2011;8,6
203;179;2012;10,4
204;179;2013;18,5
205;179;2014;18,6
206;179;2015;22,5
207;179;2016;19,1
208;179;2017;18,6
209;179;2018;14,9
210;179;2019;13,3
211;198;2005;75,8
212;198;2006;76,1
213;198;2007;76,3
214;198;2008;76,4
215;198;2009;76,6
216;198;2010;76,8
217;198;2011;76,9
218;198;2012;77
219;198;2013;77,1
220;198;2014;77,2
221;198;2015;77,4
222;198;2016;77,5
223;198;2017;77,6
224;198;2018;77,8
225;198;2019;77,9
226;208;2005;2,1
227;208;2006;2,1
228;208;2007;2,1
229;208;2008;2
230;208;2009;2
231;208;2010;2
232;208;2011;2
233;208;2012;2
234;208;2013;2
235;208;2014;2
236;208;2015;2
237;208;2016;2
238;208;2017;2
239;208;2018;2
240;208;2019;2
